dropout,lr,batch_size,shared_embedding_size,projection_embedding_size,epoch,Precision,Recall,F1
0.2,0.0001,128.0,1024.0,256.0,20.0,0.298,0.386,0.3
0.3,0.001,128.0,2048.0,1024.0,17.0,0.312,0.391,0.305
0.2,0.0001,64.0,1024.0,256.0,11.0,0.316,0.363,0.31
0.2,0.0001,128.0,2048.0,1024.0,19.0,0.349,0.39,0.313
0.2,0.0001,64.0,2048.0,1024.0,9.0,0.305,0.364,0.32
0.2,0.001,64.0,2048.0,1024.0,9.0,0.306,0.382,0.324
0.2,0.001,128.0,2048.0,1024.0,38.0,0.332,0.397,0.329
0.2,0.001,128.0,1024.0,256.0,17.0,0.326,0.394,0.329
0.3,0.001,64.0,2048.0,1024.0,498.0,0.358,0.412,0.331
0.3,0.001,128.0,1024.0,256.0,18.0,0.367,0.412,0.341
0.2,0.001,64.0,1024.0,256.0,499.0,0.338,0.402,0.348
